title,release_date,budget,revenue,vote_average,genres_cleaned
Babel,2006-09-08,25000000.0,135330182.0,6.9,Drama
Rescue Dawn,2006-09-09,10000000.0,7177143.0,6.9,"Adventure, Drama, War"
Stranger Than Fiction,2006-09-09,30000000.0,53653224.0,7.1,"Comedy, Drama, Fantasy, Romance"
A Good Year,2006-09-09,35000000.0,42064105.0,6.5,"Comedy, Drama, Romance"
All the King's Men,2006-09-10,55000000.0,9450897.0,5.7,"Drama, Thriller"
This Is England,2006-09-12,2380000.0,8176544.0,7.4,"Drama, Crime"
Perfume: The Story of a Murderer,2006-09-13,50000000.0,132180323.0,7.1,"Crime, Fantasy, Drama"
Starter for 10,2006-09-13,8.0,21.0,6.7,"Drama, Comedy, Romance"
Seraphim Falls,2006-09-13,18000000.0,1196307.0,6.4,"Western, Drama"
Happily N'Ever After,2006-09-14,47000000.0,38085778.0,4.6,"Animation, Comedy, Family, Fantasy, Science Fiction"
Gridiron Gang,2006-09-15,30000000.0,41480851.0,6.6,"Action, Adventure, Crime, Drama"
The Black Dahlia,2006-09-15,50000000.0,49111202.0,5.7,Drama
The Queen,2006-09-15,15000000.0,123384128.0,6.8,Drama
Local Color,2006-09-19,3250000.0,32788.0,6.1,Drama
Children of Men,2006-09-22,76000000.0,69959751.0,7.4,"Drama, Action, Thriller, Science Fiction"
Jackass Number Two,2006-09-22,11000000.0,72778712.0,6.4,"Action, Comedy, Documentary"
Flyboys,2006-09-22,60000000.0,17800000.0,6.3,"Action, Adventure, Drama, History, Romance, War"
The Guardian,2006-09-28,70000000.0,55011732.0,6.8,"Action, Adventure, Drama"
School for Scoundrels,2006-09-29,20000000.0,17807569.0,5.6,"Comedy, Drama, Romance"
Facing the Giants,2006-09-29,100000.0,10178331.0,6.6,Drama
Open Season,2006-09-29,85000000.0,197309027.0,6.1,"Adventure, Animation, Family"
The History Boys,2006-10-02,4000000.0,13401952.0,6.6,"Comedy, Drama"
The Departed,2006-10-05,90000000.0,289847354.0,7.9,"Drama, Thriller, Crime"
Employee of the Month,2006-10-06,12000000.0,38368909.0,5.4,"Comedy, Romance"
Trailer Park Boys: The Movie,2006-10-06,5000000.0,3833507.0,6.8,Comedy
Little Children,2006-10-06,26000000.0,14821658.0,6.9,"Romance, Drama"
Man of the Year,2006-10-09,20000000.0,41237648.0,5.8,"Comedy, Drama, Romance, Thriller"
Mechenosets,2006-10-12,5000000.0,3919731.0,5.6,"Action, Romance, Thriller, Science Fiction"
The Marine,2006-10-13,20000000.0,22165608.0,5.0,"Action, Adventure, Drama, Thriller"
The Grudge 2,2006-10-13,20000000.0,39143839.0,5.3,"Horror, Thriller"
One Night with the King,2006-10-13,20000000.0,13391174.0,6.1,Drama
The Hoax,2006-10-14,25000000.0,11772461.0,6.4,"Comedy, Drama"
The Astronaut Farmer,2006-10-15,13000000.0,11130889.0,6.2,"Adventure, Comedy, Drama, Science Fiction"
Flags of Our Fathers,2006-10-18,90000000.0,65900249.0,6.7,"War, Drama, History"
The Prestige,2006-10-19,40000000.0,109676311.0,8.0,"Drama, Mystery, Thriller"
Night at the Museum,2006-10-20,110000000.0,574480841.0,6.4,"Action, Adventure, Comedy, Family, Fantasy"
Varalaru,2006-10-20,500000.0,500000.0,6.1,Drama
Flicka,2006-10-20,15000000.0,21000000.0,6.1,Drama
